Gene Name	Accession-1	Left-End-Position	Right-End-Position	Accession-2	Product	Names	Object ID	Regulation - genes directly activated by gene	Accession-1	Regulation - genes directly inhibited by gene	Accession-1	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	Transcription Units
insF5	b2089	2170532	2171398	ECK0299	IS3 element protein InsF	insF5 // tra5-4 // b2089 // ECK0299	G7126					transposition // DNA integration // DNA recombination		DNA binding // nucleic acid binding	insE5EF5F5
mhpF	b0351	372921	373871	ECK0348	acetaldehyde dehydrogenase (acetylating) MhpF	mhpF // b0351 // ECK0348	M014					catabolic process // 3-phenylpropionate catabolic process	cytosol	oxidoreductase activity // NAD binding // protein binding // acetaldehyde dehydrogenase (acetylating) activity	mhpABCDFE
mcaS	b4426	1405658	1405751	ECK1336	small regulatory RNA McaS	mcaS // IS061 // isrA // b4426 // ECK1336	G0-8899					regulatory ncRNA-mediated post-transcriptional gene silencing // regulation of bacterial-type flagellum-dependent cell motility // negative regulation of single-species biofilm formation // negative regulation of binding // positive regulation of translational initiation // negative regulation of translational initiation		bacterial-type RNA polymerase core enzyme binding // mRNA 5'-UTR binding // protein binding	mcaS
murC	b0091	100765	102240	ECK0092	UDP-<i>N</i>-acetylmuramate&mdash;L-alanine ligase	murC // b0091 // ECK0092	EG10619					cell wall organization // biosynthetic process // cell division // regulation of cell shape // peptidoglycan biosynthetic process	cytosol // cytoplasm	acid-amino acid ligase activity // ligase activity // protein binding // magnesium ion binding // ATP binding // protein homodimerization activity // UDP-N-acetylmuramate-L-alanine ligase activity	ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // rsmH-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // mraZW-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
rcnR	b2105	2185524	2185796	ECK2098	DNA-binding transcriptional repressor RcnR	rcnR // yohL // b2105 // ECK2098	G7137			rcnR // rcnB // rcnA	b2105 // b2107 // b2106	regulation of DNA-templated transcription // negative regulation of DNA-templated transcription	cytoplasm // cytosol	metal ion binding // DNA binding	rcnR
wrbA	b1004	1067112	1067708	ECK0995	NAD(P)H:quinone oxidoreductase	wrbA // b1004 // ECK0995	EG11540					response to oxidative stress	membrane // protein-containing complex // cytosol	NADH:ubiquinone reductase (non-electrogenic) activity // NADPH dehydrogenase (quinone) activity // NAD binding // NADP binding // flavin adenine dinucleotide binding // oxidoreductase activity // nucleotide binding // identical protein binding // NAD(P)H dehydrogenase (quinone) activity // FMN binding	wrbA-yccJ
nei	b0714	745935	746726	ECK0703	endonuclease VIII	nei // b0714 // ECK0703	G6383					DNA repair // base-excision repair	cytosol	class I DNA-(apurinic or apyrimidinic site) endonuclease activity // lyase activity // DNA binding // metal ion binding // hydrolase activity, acting on glycosyl bonds // hydrolase activity // zinc ion binding // oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity // damaged DNA binding // DNA-(apurinic or apyrimidinic site) endonuclease activity	nei // ybgIJKL-nei // ybgIJKL-nei
idnO	b4266	4492587	4493351	ECK4259	5-keto-D-gluconate 5-reductase	idnO // yjgU // b4266 // ECK4259	G7892					L-idonate catabolic process	cytosol	oxidoreductase activity // protein homodimerization activity // gluconate 5-dehydrogenase activity	idnDOTR
ygcS	b2771	2896533	2897870	ECK2766	putative transporter YgcS	ygcS // b2771 // ECK2766	G7437					transmembrane transport	membrane // plasma membrane	transmembrane transporter activity	ygcS
yjeO	b4158	4385704	4386018	ECK4154	DUF2645 domain-containing inner membrane protein YjeO	yjeO // b4158 // ECK4154	G7839						plasma membrane		yjeNO
insB4	b0988	1050027	1050530	ECK0022	IS1 protein InsB	insB4 // b0988 // ECK0022	G6509					transposition // DNA recombination // DNA transposition	cytosol	transposase activity // DNA binding	insA4AB4B4
gudD	b2787	2918045	2919385	ECK2781	<i>D</i>-glucarate dehydratase	gudD // ygcX // b2787 // ECK2781	G7445					glucarate catabolic process // D-glucarate catabolic process	cytosol	lyase activity // magnesium ion binding // metal ion binding // glucarate dehydratase activity	gudPXD
ohsC	b4608	2700520	2700598	ECK4417	small regulatory RNA OhsC	ohsC // ryfC // b4608 // ECK4417	G0-10598					regulatory ncRNA-mediated post-transcriptional gene silencing			ohsC
mtgA	b3208	3349081	3349809	ECK3197	peptidoglycan glycosyltransferase MtgA	mtgA // mgt // yrbM // b3208 // ECK3197	G7668					cell wall organization // regulation of cell shape // Gram-negative-bacterium-type cell wall biogenesis // peptidoglycan biosynthetic process	membrane // peptidoglycan-based cell wall // plasma membrane	glycosyltransferase activity // protein binding // pentosyltransferase activity // peptidoglycan glycosyltransferase activity	elbB-mtgA
aidB	b4187	4414275	4415900	ECK4183	isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor	aidB // b4187 // ECK4183	EG11811			aidB	b4187	DNA damage response // negative regulation of DNA-templated transcription	cytosol // cytoplasm	identical protein binding // oxidoreductase activity // acyl-CoA dehydrogenase activity // protein binding // sequence-specific DNA binding // DNA binding // 3-methylbutanoyl-CoA dehydrogenase activity	aidB // aidB
msyB	b1051	1113807	1114181	ECK1037	acidic protein MsyB	msyB // b1051 // ECK1037	EG11338						cytosol		msyB
alkB	b2212	2308691	2309341	ECK2204	DNA oxidative demethylase	alkB // aidD // b2212 // ECK2204	EG10037					oxidative RNA demethylation // oxidative demethylation // RNA repair // response to methyl methanesulfonate // DNA alkylation repair // DNA repair	cytosol // cytoplasm	broad specificity oxidative DNA demethylase activity // metal ion binding // oxidative RNA demethylase activity // dioxygenase activity // protein binding // ferrous iron binding	ada-alkB // ada-alkB // alkB
paaJ	b1397	1460893	1462098	ECK1394	&beta;-ketoadipyl-CoA thiolase	paaJ // ydbW // b1397 // ECK1394	G6718					small molecule metabolic process // fatty acid beta-oxidation // 3,4-dihydroxybenzoate catabolic process // DNA damage response // phenylacetate catabolic process	cytosol	acetyl-CoA C-acyltransferase activity // acyltransferase activity, transferring groups other than amino-acyl groups // acyltransferase activity // 3-oxoadipyl-CoA thiolase activity // transferase activity	paaJ // paaJ // paaJ // paaABCDEFGHIJK
trkH	b3849	4033145	4034596	ECK3841	K+ transporter TrkH	trkH // b3849 // ECK3841	EG11021					monoatomic ion transmembrane transport // metal ion transport // potassium ion transport // potassium ion transmembrane transport	membrane // plasma membrane	potassium channel activity // potassium:chloride symporter activity // metal ion binding // potassium ion binding // potassium ion transmembrane transporter activity	pepQ-yigZ-trkH-hemG
yrdB	b3280	3429766	3430023	ECK3267	DUF1488 domain-containing protein YrdB	yrdB // b3280 // ECK3267	G7697						cytosol		yrdD-rimN-aroE-yrdB
insB3	b0274	290649	291152	ECK0022	IS1 protein InsB	insB3 // b0274 // ECK0022	G6145					transposition // DNA transposition // DNA recombination		transposase activity // DNA binding	insA3B3AB3
mhpE	b0352	373868	374881	ECK0349	4-hydroxy-2-oxovalerate aldolase	mhpE // b0352 // ECK0349	G6205					catabolic process // L-leucine biosynthetic process // 3-phenylpropionate catabolic process	cytosol	2-isopropylmalate synthase activity // manganese ion binding // lyase activity // catalytic activity // protein binding // metal ion binding // 4-hydroxy-2-oxovalerate aldolase activity	mhpABCDFE
sibA	b4436	2153311	2153454	ECK2068	small RNA SibA	sibA // QUAD1a // tp11 // ryeC // b4436 // ECK2068	G0-8884								sibA
elyC	b0920	972622	973401	ECK0911	envelope biogenesis factor	elyC // ycbC // b0920 // ECK0911	EG12166					cell wall organization // protein folding // Gram-negative-bacterium-type cell wall biogenesis // peptidoglycan metabolic process	plasma membrane		ycbC
nrdR	b0413	433002	433451	ECK0407	NrdR transcriptional repressor	nrdR // ybaD // b0413 // ECK0407	EG11320			nrdH // nrdI // nrdF // nrdE // yfaE // nrdA // nrdB // nrdG // nrdD	b2673 // b2674 // b2676 // b2675 // b2236 // b2234 // b2235 // b4237 // b4238	negative regulation of DNA-templated transcription	cytosol	DNA binding // zinc ion binding // metal ion binding // ATP binding // double-stranded DNA binding	nrdR-ribDE-nusB-thiL-pgpA
yhfA	b3356	3485414	3485818	ECK3344	OsmC family protein YhfA	yhfA // b3356 // ECK3344	EG11182						cytosol		yhfA
ybaZ	b0454	475982	476371	ECK0448	DNA base-flipping protein	ybaZ // atl // b0454 // ECK0448	G6251					DNA damage response // DNA repair	cytosol	protein binding // DNA binding // catalytic activity // damaged DNA binding	ybaZ
dctA	b3528	3682161	3683447	ECK3513	C4 dicarboxylate/orotate:H<sup>+</sup> symporter	dctA // b3528 // ECK3513	EG20044					carboxylic acid transport // malate transmembrane transport // succinate transmembrane transport // dicarboxylic acid transport // DNA damage response // L-aspartate transmembrane transport // fumarate transport	membrane // plasma membrane	symporter activity // protein binding // malate:proton symporter activity // succinate transmembrane transporter activity // fumarate transmembrane transporter activity // L-aspartate transmembrane transporter activity	dctA
mntH	b2392	2511468	2512706	ECK2387	Mn(2+):H(+) symporter	mntH // mntA // yfeP // b2392 // ECK2387	G7254					iron ion transmembrane transport // proton transmembrane transport // cadmium ion transmembrane transport // manganese ion transport // iron ion transport // cobalt ion transport // cadmium ion transport // monoatomic ion transport // metal ion transport // manganese import into cell // cellular response to oxidative stress	membrane // plasma membrane	metal ion binding // proton transmembrane transporter activity // symporter activity // metal ion transmembrane transporter activity // cadmium ion transmembrane transporter activity // protein binding // manganese ion transmembrane transporter activity	mntH
yqjC	b3097	3248969	3249337	ECK3088	DUF1090 domain-containing protein YqjC	yqjC // b3097 // ECK3088	G7611								yqjCDEK
insCD2		1467921	1469149		IS2 element transposase InsAB'	insCD2	G0-10542								insC2D2CD2
gatA	b2094	2174597	2175049	ECK2087	galactitol-specific PTS enzyme IIA component	gatA // b2094 // ECK2087	EG12414					phosphorylation // galactitol metabolic process // galactitol transmembrane transport // phosphoenolpyruvate-dependent sugar phosphotransferase system	transmembrane transporter complex // cytoplasm // cytosol	protein kinase activator activity // kinase activity // protein-phosphocysteine-galactitol-phosphotransferase system transporter activity	gatZABCD // gatYZABCD
spf	b3864	4049899	4050009	ECK3856	small regulatory RNA Spot 42	spf // b3864 // ECK3856	EG30098					regulatory ncRNA-mediated post-transcriptional gene silencing // regulation of translation, ncRNA-mediated		mRNA binding // protein binding	spf-spfP
mraY	b0087	96002	97084	ECK0088	phospho-N-acetylmuramoyl-pentapeptide-transferase	mraY // murX // b0087 // ECK0088	EG10604					cell wall macromolecule biosynthetic process // cell wall organization // cell division // regulation of cell shape // peptidoglycan biosynthetic process	plasma membrane // membrane	metal ion binding // phosphotransferase activity, for other substituted phosphate groups // transferase activity // UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase activity // phospho-N-acetylmuramoyl-pentapeptide-transferase activity	ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // rsmH-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // mraZW-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
sgrR	b0069	75644	77299	ECK0070	DNA-binding transcriptional dual regulator SgrR	sgrR // yabN // b0069 // ECK0070	EG12094	alaC // sgrT // setA // sgrS	b2379 // b4662 // b0070 // b4577	sgrR // sroA // thiB // thiP // thiQ	b0069 // b4762 // b0068 // b0067 // b0066	transmembrane transport // peptide transport // positive regulation of DNA-templated transcription // negative regulation of DNA-templated transcription	outer membrane-bounded periplasmic space // cytosol	peptide transmembrane transporter activity // DNA binding // transcription cis-regulatory region binding	sgrR-sroA-thiBPQ
yceB	b1063	1122713	1123273	ECK1048	putative lipid-binding lipoprotein YceB	yceB // b1063 // ECK1048	EG11117						plasma membrane		yceB
phr	b0708	739507	740925	ECK0697	deoxyribodipyrimidine photolyase	phr // phrB // b0708 // ECK0697	EG10736					response to stress // nucleobase-containing compound metabolic process // response to light stimulus // DNA repair // phototransduction, visible light // photoreactive repair	cytosol	organic cyclic compound binding // FAD binding // protein binding // lyase activity // DNA binding // nucleotide binding // damaged DNA binding // deoxyribodipyrimidine photo-lyase activity	ybgA-phr // phr // ybgA-phr
pgm	b0688	713558	715198	ECK0676	phosphoglucomutase	pgm // blu // b0688 // ECK0676	EG12144					carbohydrate metabolic process // glucose metabolic process	cytoplasm // cytosol	protein binding // intramolecular phosphotransferase activity // isomerase activity // magnesium ion binding // metal ion binding // phosphoglucomutase activity	seqA-pgm
tcyL	b1918	1997811	1998479	ECK1917	cystine ABC transporter membrane subunit	tcyL // yecS // b1918 // ECK1917	G7037					nitrogen compound transport // cysteine transmembrane transport // transmembrane transport // amino acid transport // sulfur utilization // diaminopimelate transport // L-cystine transport	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // membrane // ATP-binding cassette (ABC) transporter complex // plasma membrane	transmembrane transporter activity // L-cystine transmembrane transporter activity	dcyD-tcyLN
hyuA	b2873	3010028	3011413	ECK2869	phenylhydantoinase	hyuA // ygeZ // b2873 // ECK2869	G7492					pyrimidine nucleobase catabolic process	cytoplasm // cytosol	hydrolase activity // hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides // metal ion binding // identical protein binding	hyuA
insK	b3558	3721198	3722049	ECK3546	IS150 conserved protein InsB	insK // dinS // yi5B // t150 // b3558 // ECK3546	G7777					DNA integration // DNA damage response // transposition // DNA recombination	cytosol	nucleic acid binding // DNA binding	insK
rhaA	b3903	4094723	4095982	ECK3896	L-rhamnose isomerase	rhaA // b3903 // ECK3896	EG11867					rhamnose metabolic process // protein homotetramerization // rhamnose catabolic process // L-lyxose metabolic process	protein-containing complex // cytoplasm // cytosol	rhamnose binding // zinc ion binding // isomerase activity // manganese ion binding // metal ion binding // identical protein binding // L-rhamnose isomerase activity	rhaBAD
glmZ	b4456	3986432	3986603	ECK3795	small regulatory RNA GlmZ	glmZ // psrA20 // sraJ // k19 // ryiA // b4456 // ECK3795	G0-8873					positive regulation of translation, ncRNA-mediated // positive regulation of translational initiation		protein binding // mRNA 5'-UTR binding	glmZ
pbpC	b2519	2645013	2647325	ECK2515	peptidoglycan glycosyltransferase PbpC	pbpC // yfgN // b2519 // ECK2515	G7322					response to antibiotic // proteolysis // cell wall organization // positive regulation of cell division // regulation of cell shape // peptidoglycan biosynthetic process	membrane // outer membrane-bounded periplasmic space // plasma membrane	carboxypeptidase activity // glycosyltransferase activity // protein binding // penicillin binding // peptidoglycan glycosyltransferase activity	yfhM-pbpC
aroM	b0390	407428	408105	ECK0385	protein AroM	aroM // b0390 // ECK0385	EG10083						cytosol	racemase and epimerase activity, acting on amino acids and derivatives	aroM // aroL-yaiA-aroM // yaiA-aroM // aroL-yaiA-aroM
mfd	b1114	1170518	1173964	ECK1100	transcription-repair coupling factor	mfd // b1114 // ECK1100	EG11619					nucleotide-excision repair, preincision complex assembly // DNA damage response // regulation of DNA-templated transcription // DNA repair // transcription-coupled nucleotide-excision repair // transcription-coupled nucleotide-excision repair, DNA damage recognition	DNA repair complex // cytoplasm // cytosol	helicase activity // protein binding // hydrolase activity // damaged DNA binding // ATP binding // RNA polymerase core enzyme binding // DNA translocase activity // DNA binding	mfd // mfd
rpiA	b2914	3058666	3059325	ECK2910	ribose-5-phosphate isomerase A	rpiA // ygfC // b2914 // ECK2910	EG11443					small molecule metabolic process // pentose-phosphate shunt, non-oxidative branch // pentose-phosphate shunt // D-ribose metabolic process	cytosol	identical protein binding // isomerase activity // protein homodimerization activity // ribose-5-phosphate isomerase activity	rpiA
rsxE	b1632	1710828	1711523	ECK1628	SoxR [2Fe-2S] reducing system protein RsxE	rsxE // ydgQ // b1632 // ECK1628	G6876					electron transport chain	membrane // plasma membrane		rsxABCDGE-nth // ydgK-rsxABCDGE-nth
yfjS	b2636	2770681	2771124	ECK2632	CP4-57 prophage; inner membrane lipoprotein YfjS	yfjS // b2636 // ECK2632	G7371						plasma membrane		yfjR-ypjK-yfjS-yfjT
insC3	b1997	2069815	2070180	ECK0357	CP4-44 prophage; IS2 insertion element repressor InsA	insC3 // yi21-3 // b1997 // ECK0357	G7077					DNA transposition // transposition // DNA recombination	cytosol	transposase activity // DNA binding	insC3D3CD3
xylE	b4031	4240779	4242254	ECK4023	D-xylose:H<sup>+</sup> symporter	xylE // b4031 // ECK4023	EG11076					transmembrane transport // D-xylose transmembrane transport	membrane // plasma membrane	transmembrane transporter activity // symporter activity // D-xylose:proton symporter activity	xylE
rdlD	b4454	3700136	3700199	ECK3525	antisense regulatory RNA RdlD	rdlD // b4454 // ECK3525	G0-9042					negative regulation of cytoplasmic translation		translation repressor activity	rdlD
amiA	b2435	2552352	2553221	ECK2430	<i>N</i>-acetylmuramoyl-L-alanine amidase A	amiA // yfeE // b2435 // ECK2430	EG11823					cell wall organization // peptidoglycan catabolic process // cellular response to antibiotic // cell division	periplasmic space // outer membrane-bounded periplasmic space	hydrolase activity // zinc ion binding // N-acetylmuramoyl-L-alanine amidase activity	amiA-hemF
hxpA	b2293	2411439	2412089	ECK2287	hexitol phosphatase A	hxpA // yfbT // b2293 // ECK2287	G7187						cytosol	beta-phosphoglucomutase activity // metal ion binding // hydrolase activity // cobalt ion binding // manganese ion binding // sorbitol-6-phosphatase activity // mannitol-1-phosphatase activity // magnesium ion binding // glycerol-3-phosphatase activity // sugar-phosphatase activity	yfbU-hxpA
mutY	b2961	3103013	3104065	ECK2956	adenine DNA glycosylase	mutY // micA // b2961 // ECK2956	EG10627					response to stress // mismatch repair // DNA repair // base-excision repair	outer membrane-bounded periplasmic space // cytosol	adenine/guanine mispair binding // 8-oxo-7,8-dihydroguanine DNA N-glycosylase activity // oxidized purine DNA binding // purine-specific mismatch base pair DNA N-glycosylase activity // DNA N-glycosylase activity // DNA binding // 4 iron, 4 sulfur cluster binding // metal ion binding // hydrolase activity, acting on glycosyl bonds	mutY-yggX-mltC // mutY-yggX // mutY-yggX-mltC // mutY-yggX // mutY-yggX-mltC-nupG // mutY-yggX-mltC-nupG
rhaS	b3905	4097736	4098572	ECK3898	DNA-binding transcriptional activator RhaS	rhaS // rhaC2 // b3905 // ECK3898	EG10843	rhaS // rhaR // rhaD // rhaA // rhaB // rhaT	b3905 // b3906 // b3902 // b3903 // b3904 // b3907			positive regulation of DNA-templated transcription // rhamnose metabolic process // regulation of DNA-templated transcription	cytoplasm // cytosol	sequence-specific DNA binding // DNA binding // DNA-binding transcription factor activity	rhaSR // rhaSR
ddpB	b1486	1559907	1560929	ECK1480	putative D,D-dipeptide ABC transporter membrane subunit DdpB	ddpB // yddR // b1486 // ECK1480	G6780					dipeptide transport // dipeptide transmembrane transport // peptide transport // protein transport // transmembrane transport	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // membrane // ATP-binding cassette (ABC) transporter complex // plasma membrane	dipeptide transmembrane transporter activity	ddpXABCDF // ddpXABCDF // ddpXABCDF
msrC	b1832	1915631	1916128	ECK1831	free methionine-(<i>R</i>)-sulfoxide reductase	msrC // yebR // b1832 // ECK1831	G7005						cytosol	oxidoreductase activity // protein homodimerization activity // L-methionine-(R)-S-oxide reductase activity	msrC
insH3	b0656	687997	688977	ECK0261	IS<i>5</i> transposase and trans-activator	insH3 // trs5-3 // yi52_3 // b0656 // ECK0261	G6360					DNA transposition // transposition // DNA recombination	cytosol	transposase activity // DNA binding	insH3
mtlA	b3599	3772281	3774194	ECK3588	mannitol-specific PTS enzyme IICBA component	mtlA // mtlC // b3599 // ECK3588	EG10615					phosphorylation // sorbitol transmembrane transport // mannitol transmembrane transport // phosphoenolpyruvate-dependent sugar phosphotransferase system	membrane // plasma membrane	protein-phosphocysteine-sugar phosphotransferase activity // protein-N(PI)-phosphohistidine-mannitol phosphotransferase system transmembrane transporter activity // kinase activity // protein binding // protein-phosphocysteine-mannitol phosphotransferase system transporter activity	mtlADR
fnrS	b4699	1409129	1409250	ECK4511	small regulatory RNA FnrS	fnrS // rydA // b4699 // ECK4511	G0-10677					sRNA-mediated post-transcriptional gene silencing		mRNA binding // protein binding	fnrS
ddlA	b0381	399829	400923	ECK0376	D-alanine&mdash;D-alanine ligase A	ddlA // b0381 // ECK0376	EG10213					cell wall organization // regulation of cell shape // peptidoglycan biosynthetic process // response to X-ray	cytoplasm // cytosol	catalytic activity // ligase activity // metal ion binding // ATP binding // D-alanine-D-alanine ligase activity	ddlA
ydjX	b1750	1833401	1834111	ECK1748	DedA family protein YdjX	ydjX // b1750 // ECK1748	G6945						plasma membrane		ydjXYZ-ynjABCD
ligA	b2411	2528161	2530176	ECK2406	DNA ligase	ligA // dnaL // lig // lop // pdeC // b2411 // ECK2406	EG10534					DNA metabolic process // DNA replication // DNA repair // base-excision repair, DNA ligation // DNA ligation	cytosol	protein binding // ligase activity // metal ion binding // NAD+ binding // DNA binding // DNA ligase (NAD+) activity	ligA-ypeB
malP	b3417	3550080	3552473	ECK3404	maltodextrin phosphorylase	malP // malA // blu // b3417 // ECK3404	EG10560					carbohydrate metabolic process // glycogen catabolic process // alpha-glucan catabolic process	cytoplasm // cytosol	glycosyltransferase activity // 1,4-alpha-oligoglucan phosphorylase activity // glycogen phosphorylase activity // protein homodimerization activity // pyridoxal phosphate binding // maltodextrin phosphorylase activity	malPQ
mdtH	b1065	1124118	1125326	ECK1050	multidrug efflux pump MdtH	mdtH // yceL // b1065 // ECK1050	G6559					transmembrane transport // response to antibiotic	membrane // plasma membrane	transmembrane transporter activity	mdtH
nhoA	b1463	1534024	1534869	ECK1457	arylamine <i>N</i>-acetyltransferase	nhoA // yddI // b1463 // ECK1457	G6770						cytoplasm // cytosol	acetyltransferase activity // acyltransferase activity // arylamine N-acetyltransferase activity // protein homodimerization activity // N-hydroxyarylamine O-acetyltransferase activity	nhoA
insAB5		1978518	1979215		InsAB' transposase	insAB5	G0-10539								insA5B5AB5
malK	b4035	4246784	4247899	ECK4027	maltose ABC transporter ATP binding subunit	malK // malB // b4035 // ECK4027	EG10558					negative regulation of transmembrane transport // negative regulation of maltose transport // transmembrane transport // maltose transmembrane transport // carbohydrate transport // maltose transport // maltodextrin transmembrane transport	protein-containing complex // enzyme IIA-maltose transporter complex // ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // membrane // maltose transport complex // plasma membrane // ATP-binding cassette (ABC) transporter complex	ATP hydrolysis activity // ABC-type transporter activity // DNA-binding transcription factor binding // protein binding // ATP binding // ABC-type maltose transporter activity	malK-lamB-malM
micC	b4427	1437121	1437231	ECK1373	small regulatory RNA MicC	micC // IS063 // tke8 // b4427 // ECK1373	G0-8901					negative regulation of bacterial-type flagellum-dependent cell motility // sRNA-mediated post-transcriptional gene silencing // negative regulation of translational initiation		mRNA 5'-UTR binding	micC
mipA	b1782	1865726	1866472	ECK1780	MltA-interacting protein	mipA // yeaF // b1782 // ECK1780	G6968					peptidoglycan biosynthetic process	cell outer membrane	protein-macromolecule adaptor activity	mipA
ycgN	b1181	1228815	1229276	ECK1169	putative metal-chelating domain-containing protein YcgN	ycgN // b1181 // ECK1169	G6618						cytosol		ycgN
dinD	b3645	3817760	3818584	ECK3635	DNA damage-inducible protein D	dinD // pcsA // yicD // b3645 // ECK3635	EG11193					DNA damage response // SOS response	cytosol		dinD
fucU	b2804	2938888	2939310	ECK2799	L-fucose mutarotase	fucU // b2804 // ECK2799	EG10355					fucosylation // L-fucose metabolic process // fucose metabolic process	cytosol // cytoplasm	D-ribose pyranase activity // racemase and epimerase activity // isomerase activity // fucose binding // identical protein binding // L-fucose mutarotase activity // racemase and epimerase activity, acting on carbohydrates and derivatives	fucU // fucPIKUR
lspA	b0027	25207	25701	ECK0028	lipoprotein signal peptidase	lspA // lsp // b0027 // ECK0028	EG10548					signal peptide processing // proteolysis	membrane // plasma membrane	aspartic-type endopeptidase activity // endopeptidase activity	ileS-lspA-fkpB-ispH // ileS-lspA-fkpB-ispH // ileS-lspA-fkpB-ispH // lsp-fkpB-ispH // ribF-ileS-lspA-fkpB-ispH
elfC	b0940	999216	1001816	ECK0931	putative fimbrial usher protein ElfC	elfC // ycbS // b0940 // ECK0931	G6482					pilus assembly // transmembrane transport // pilus organization	membrane // cell outer membrane	heparin binding // fimbrial usher porin activity	elfDCG-ycbUVF
fepA	b0584	610254	612494	ECK0576	ferric enterobactin outer membrane transporter	fepA // cbr // cbt // fep // feuB // b0584 // ECK0576	EG10293					iron ion transport // intracellular iron ion homeostasis // siderophore transmembrane transport // enterobactin transport // siderophore transport // siderophore-dependent iron import into cell // ferric-enterobactin import into cell // colicin transport	transmembrane transporter complex // cell envelope // membrane // cell outer membrane	enterobactin binding // siderophore-iron transmembrane transporter activity // enterobactin transmembrane transporter activity // signaling receptor activity // siderophore uptake transmembrane transporter activity // protein domain specific binding // protein binding // ferric-enterobactin transmembrane transporter activity // colicin transmembrane transporter activity // ligand-gated channel activity	fepA-entD // fepA-entD
chbR	b1735	1818605	1819447	ECK1733	DNA binding transcriptional dual regulator ChbR	chbR // celD // b1735 // ECK1733	EG10143	chbG // chbF // chbR // chbA // chbC // chbB	b1733 // b1734 // b1735 // b1736 // b1737 // b1738	chbG // chbF // chbR // chbA // chbC // chbB	b1733 // b1734 // b1735 // b1736 // b1737 // b1738	regulation of DNA-templated transcription // negative regulation of DNA-templated transcription	cytosol	protein homodimerization activity // sequence-specific DNA binding // DNA binding // DNA-binding transcription factor activity // core promoter sequence-specific DNA binding	chbBCARFG
sibE	b4611	3195097	3195240	ECK4420	small RNA SibE	sibE // QUAD1e // rygE // b4611 // ECK4420	G0-10602					regulatory ncRNA-mediated post-transcriptional gene silencing			sibE
amiB	b4169	4396065	4397402	ECK4165	<i>N</i>-acetylmuramoyl-L-alanine amidase B	amiB // yjeD // b4169 // ECK4165	EG11363					cell wall organization // peptidoglycan catabolic process // cell division // FtsZ-dependent cytokinesis	periplasmic space // outer membrane-bounded periplasmic space	hydrolase activity // N-acetylmuramoyl-L-alanine amidase activity	tsaE-amiB-mutL-miaA-hfq-hflXKC // yjeFE-amiB-mutL-miaA-hfq-hflXKC // yjeFE-amiB-mutL-miaA-hfq-hflXKC // yjeFE-amiB-mutL-miaA-hfq-hflXKC
ybgQ	b0718	749722	752169	ECK0707	putative fimbrial usher protein YbgQ	ybgQ // b0718 // ECK0707	G6387					transmembrane transport // pilus assembly	membrane // cell outer membrane	fimbrial usher porin activity	ybgQPOD
dam	b3387	3515077	3515913	ECK3374	DNA adenine methyltransferase	dam // b3387 // ECK3374	EG10204					DNA restriction-modification system // DNA replication // methylation // DNA-templated DNA replication // response to UV // bacterial-type DNA replication initiation // mismatch repair	cytosol	DNA binding // protein binding // methyltransferase activity // nucleic acid binding // S-adenosyl-L-methionine binding // sequence-specific DNA binding // site-specific DNA-methyltransferase (adenine-specific) activity	dam-rpe-gph-trpS // dam-rpe-gph-trpS // damX-dam-rpe-gph-trpS // aroKB-damX-dam-rpe-gph-trpS // aroKB-damX-dam-rpe-gph-trpS
